month,energy,mean.temp,total.area,total.passengers,domestic.passengers,US.passengers,international.passengers
09-Jan,7852,2.1,302279,1284.29,636.95,311.61,335.73
09-Feb,7773,4,303079,1207.57,631.33,299.73,276.52
09-Mar,6859,4.9,303079,1355.32,693.37,345.08,316.87
09-Apr,7410,9.1,303079,1286.71,684.15,308.12,294.44
09-May,6918,12.7,303079,1319.13,728.76,311.54,278.82
09-Jun,7759,17.4,303079,1380.84,749.46,334.37,297.02
09-Jul,7718,19.6,311585,1592.11,836.96,399.14,356.01
09-Aug,8630,18,319585,1710.56,917.86,416.51,376.18
09-Sep,8121,15.7,319585,1376.56,747.05,305.31,324.21
09-Oct,7423,10,319585,1240.26,719,257.39,263.87
09-Nov,7809,7.1,319585,1112.12,620.28,248.28,243.56
09-Dec,7841,2.1,319585,1313.85,712.19,311.52,290.14
10-Jan,8171,7.2,319585,1260.26,649.74,307.88,302.64
10-Feb,8101,7.1,319585,1248.45,641.93,326.96,279.56
10-Mar,7306,7.7,319585,1395.6,718.58,362.98,314.04
10-Apr,7877,9.6,319585,1315.79,700.04,330.79,284.96
10-May,7575,12,319585,1415.24,756.88,339.98,318.38
10-Jun,7740,15,319585,1494.3,781.15,360.54,352.62
10-Jul,8149,18.1,319585,1667.07,844.64,424.63,397.79
10-Aug,8813,18.2,319585,1704.74,886.16,421.92,396.66
10-Sep,8154,15.3,319585,1417.72,740.51,325.56,351.65
10-Oct,7635,11.3,319585,1331.31,721.73,308.32,301.25
10-Nov,7932,5.1,319585,1176.74,623.44,293.05,260.25
10-Dec,7975,4.9,319585,1352.5,716.61,331.34,304.56
